author,text,hashtags,likes,retweets,replies,views,created_at,url,date,hour,day_of_week,text_clean,engagement_score
Ugochukwu Victory 𓃵,"Mind you, I also place calls on  @trench1000x  Public community (101 in the Trenches)

He’s definitely one of the most underrated degens in this space. Super  chill guy , with an unstoppable Community as well!

Link in his bio….",,10,1,3,232,2025-06-03 12:13:42+00:00,https://x.com/iamugovictory/status/1929874128518906154,2025-06-03,12,1,"Mind you, I also place calls on @trench1000x Public community (101 in the Trenches) He’s definitely one of the most underrated degens in this space. Super chill guy , with an unstoppable Community as well! Link in his bio….",35.2
Degen Sing,"#chillguy  is going bullish... Up up and we go higher... 

Strong bullish movement spotted.",#chillguy,16,6,3,241,2025-06-03 10:52:07+00:00,https://x.com/degensing/status/1929853598835310790,2025-06-03,10,1,#chillguy is going bullish... Up up and we go higher... Strong bullish movement spotted.,52.1
CHILLGUY on SOL,#CHILLGUY,#CHILLGUY,0,0,0,0,2025-06-03 10:20:30+00:00,https://x.com/chillguy4life/status/1929845642882404489,2025-06-03,10,1,#CHILLGUY,0.0
T✮ngerine,I met movie director T.Cracker!! I’m such a big fan !!! I got his photo card signed he was such a  chill guy,,11,3,2,147,2025-06-03 09:24:04+00:00,https://x.com/hl_wer/status/1929831442034397433,2025-06-03,9,1,I met movie director T.Cracker!! I’m such a big fan !!! I got his photo card signed he was such a chill guy,31.700000000000003
CHILLGUY on SOL,just a  chill guy  at bratislava <   >,,0,0,0,0,2025-06-03 09:08:19+00:00,https://x.com/chillguy4life/status/1929827474998722768,2025-06-03,9,1,just a chill guy at bratislava < >,0.0
chill guy | fan page,chill  advice...,,0,0,0,0,2025-06-02 21:41:15+00:00,https://x.com/chillguyx/status/1929654568524386403,2025-06-02,21,0,chill advice...,0.0
9 4 7 S C,$1+ before September #CHILLGUY,#CHILLGUY,74,20,8,2093,2025-06-02 19:27:54+00:00,https://x.com/947SC/status/1929621011592310977,2025-06-02,19,0,$1+ before September #CHILLGUY,323.3
Fazt0x,$dilip  reminds me of the early hours of  chillguy,,0,0,0,0,2025-06-02 16:20:37+00:00,https://x.com/fazt0x/status/1929573881087418609,2025-06-02,16,0,$dilip reminds me of the early hours of chillguy,0.0
(Fan) Mbeumo,Chill guy #bryanmbuemo #BrentfordFC,"#bryanmbuemo,#BrentfordFC",36966,1424,297,1176231,2025-06-02 16:17:46+00:00,https://x.com/b_mbuemo/status/1929573164658430395,2025-06-02,16,0,Chill guy #bryanmbuemo #BrentfordFC,157437.1
MIRAI,"chilling into the ai world with  @chillguycto  

rendering  chillguy  into 3D, publicly usable  wherever. 

more to come ",,217,54,31,17593,2025-06-02 15:07:48+00:00,https://x.com/Mirai_terminal/status/1929555553728049168,2025-06-02,15,0,"chilling into the ai world with @chillguycto rendering chillguy into 3D, publicly usable wherever. more to come",2084.3
